precificado_em;titulo;preco;taxa
2026-07-29T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2060;248.46;IPCA + 7,27%
2026-07-29T18:00:05-03:00;Tesouro Renda+ Aposentadoria Extra 2065;175.31;IPCA + 7,27%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2050;480.95;IPCA + 7,40%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2060;239.24;IPCA + 7,37%
2026-07-30T09:23:54-03:00;Tesouro Renda+ Aposentadoria Extra 2065;168.02;IPCA + 7,37%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2050;479.57;IPCA + 7,41%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2060;238.33;IPCA + 7,38%
2026-07-30T12:00:42-03:00;Tesouro Renda+ Aposentadoria Extra 2065;167.3;IPCA + 7,38%
2026-07-30T13:03:16-03:00;Tesouro Renda+ Aposentadoria Extra 2050;479.57;IPCA + 7,41%
2026-07-30T13:03:16-03:00;Tesouro Renda+ Aposentadoria Extra 2060;238.33;IPCA + 7,38%
2026-07-30T13:03:16-03:00;Tesouro Renda+ Aposentadoria Extra 2065;167.3;IPCA + 7,38%
2026-07-30T15:34:12-03:00;Tesouro Renda+ Aposentadoria Extra 2050;480.95;IPCA + 7,40%
2026-07-30T15:34:12-03:00;Tesouro Renda+ Aposentadoria Extra 2060;240.16;IPCA + 7,36%
2026-07-30T15:34:12-03:00;Tesouro Renda+ Aposentadoria Extra 2065;168.74;IPCA + 7,36%
2026-07-30T18:00:04-03:00;Tesouro Renda+ Aposentadoria Extra 2050;480.95;IPCA + 7,40%
2026-07-30T18:00:04-03:00;Tesouro Renda+ Aposentadoria Extra 2060;240.16;IPCA + 7,36%
2026-07-30T18:00:04-03:00;Tesouro Renda+ Aposentadoria Extra 2065;168.74;IPCA + 7,36%
2026-07-31T13:13:17-03:00;Tesouro Renda+ Aposentadoria Extra 2050;490.91;IPCA + 7,33%
2026-07-31T13:13:17-03:00;Tesouro Renda+ Aposentadoria Extra 2060;247.67;IPCA + 7,28%
2026-07-31T13:13:17-03:00;Tesouro Renda+ Aposentadoria Extra 2065;174.67;IPCA + 7,28%
